# col1                    col2        col3         col4     col5     col6     col7     col8     col9     col10    col11    col12    col13   col14   col15   col16   wmin   Starflag  
  EDCSNJ1059260-1254545   10.990567   -12.915136   26.406   -999.0   24.616   25.633   -999.0   24.03    25.038   -999.0   23.721   0       0       0.43    0.65    0.0    0         
  EDCSNJ1059260-1254100   10.990549   -12.902775   24.897   -999.0   23.938   24.803   -999.0   23.85    24.783   -999.0   23.936   0       0       0.75    0.49    0.0    0         
  EDCSNJ1059259-1251409   10.990534   -12.861352   25.277   -999.0   24.632   24.968   -999.0   24.69    24.814   -999.0   25.245   0       0       0.52    0.69    0.0    0         
  EDCSNJ1059259-1253379   10.990539   -12.893853   22.86    -999.0   20.292   22.292   -999.0   19.796   22.067   -999.0   19.587   3       3       0.64    0.03    0.0    0         
  EDCSNJ1059259-1250464   10.990537   -12.846212   24.798   -999.0   23.636   24.485   -999.0   23.329   24.593   -999.0   23.196   0       0       0.9     0.14    0.0    0         
  EDCSNJ1059261-1255258   10.990575   -12.923838   25.783   -999.0   24.02    25.514   -999.0   23.407   25.684   -999.0   23.296   0       0       0.48    0.12    0.0    0         
  EDCSNJ1059259-1252350   10.990521   -12.876382   23.596   -999.0   22.579   23.194   -999.0   22.191   23.153   -999.0   22.178   0       0       0.63    0.03    0.0    0         
  EDCSNJ1059259-1251422   10.990518   -12.861727   25.496   -999.0   24.622   25.033   -999.0   25.431   25.213   -999.0   99.0     0       0       0.55    0.67    0.0    0         
  EDCSNJ1059261-1256044   10.990587   -12.934564   21.806   -999.0   19.268   21.571   -999.0   19.037   21.506   -999.0   18.992   0       0       0.98    0.99    0.0    0         
  EDCSNJ1059260-1255390   10.990568   -12.927507   25.107   -999.0   23.944   24.727   -999.0   23.622   24.871   -999.0   23.285   3       3       0.64    0.04    0.0    0         
  EDCSNJ1059258-1252455   10.990507   -12.879313   26.059   -999.0   25.061   25.818   -999.0   24.608   25.658   -999.0   25.276   0       0       0.39    0.4     0.0    0         
  EDCSNJ1059259-1254071   10.990514   -12.901984   27.283   -999.0   24.904   26.294   -999.0   24.735   26.303   -999.0   24.448   0       0       0.41    0.49    0.0    0         
  EDCSNJ1059258-1252284   10.990498   -12.874548   25.442   -999.0   24.669   24.988   -999.0   24.293   24.491   -999.0   23.636   0       0       0.45    0.62    0.0    0         
  EDCSNJ1059259-1254513   10.990528   -12.914259   25.067   -999.0   24.142   24.902   -999.0   23.691   25.008   -999.0   23.426   0       0       0.76    0.78    0.0    0         
  EDCSNJ1059258-1253152   10.990497   -12.887542   25.785   -999.0   25.146   25.816   -999.0   25.436   26.989   -999.0   99.0     0       0       0.51    0.47    0.0    0         
  EDCSNJ1059258-1251336   10.990492   -12.859322   25.517   -999.0   22.719   25.483   -999.0   22.442   25.834   -999.0   22.448   0       0       0.63    0.79    0.0    0         
